SKP2,RB1,any
RB1,ATF2,any
TP73,TP53,any
>ATF2,5.387821646034302
TP53,SKP2,any
DUSP1,TP53,any
DUSP1,ATF2,any
>TRIM27,4.325689321437349
POLR3C,TRIM27,any
TRIM27,PRKAA1,any
POLR3C,PNMA5,any
TNR,POLR3C,any
>TRIM27,4.364932281888536
POLR3C,TRIM27,any
POLR3C,PNMA5,any
TRIM27,ZFYVE21,any
PNMA5,PRKAA1,any
>TRIM27,4.568299956408421
POLR3C,TRIM27,any
TRIM27,PRKAA1,any
PNMA5,POLR3C,any
>TRIM27,4.430839361159746
TRIM27,BEGAIN,any
POLR3C,TRIM27,any
TRIM27,PRKAA1,any
>TRIM27,4.436281113509167
DNMT1,RB1,any
SKP2,TP53,any
RB1,SKP2,any
DNMT1,TRIM27,any
>PSME1,5.0801783890972585
TK1,TP53,any
PSME1,SMN1,any
PSME1,TK1,any
>PSME1,5.106028188953445
PSME1,SETDB1,any
SMN1,TP53,any
PSME1,SMN1,any
>PSME1,5.246165888795615
TK1,SETDB1,any
TK1,TP53,any
TK1,PSME1,any
>PSME1,5.124631116432643
TK1,TP53,any
USP22,PSME1,any
PSME1,TK1,any
>PSME1,5.075325533094933
TK1,TP53,any
TK1,PSME1,any
WDR60,TK1,any
>UBE3A,5.434212528417767
CEBPZ,UBE3A,any
TP53,SKP2,any
CEBPZ,TP53,any
>UBE3A,5.358125954912797
UFD1L,TP53,any
